names,第1章,第2章,第3章,第4章,第5章,第6章,第7章,第8章,第9章,第10章,第11章,第12章,第13章,第14章,第15章,第16章,第17章,第18章,第19章,第20章,第21章,第22章,第23章,第24章,第25章,第26章,第27章,第28章,第29章,第30章,第31章,第32章,第33章,第34章,第35章,第36章,第37章,第38章,第39章,第40章,第41章,第42章,第43章,第44章,第45章,第46章,第47章,第48章,第49章,第50章,第51章,第52章,第53章,第54章,第55章,第56章,第57章,第58章,第59章,第60章,第61章,第62章,第63章,第64章,第65章,第66章,第67章,第68章,第69章,第70章,第71章,第72章,第73章,第74章,第75章,第76章,第77章,第78章,第79章,第80章,第81章,第82章
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梁子翁,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9927645365753057,0.4374854901822701,0.4374854901822701,0.9778513582254024,0.5391081147674365,0.9996492983262177,0.9996492983262177,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.35853225362194197,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.8884444848253585,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9996926847453983,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555,0.9999771511714555
成吉思汗,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8131908188800281,0.9999999300545406,0.9999999300545406,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.002749518936404627,0.8280679558768207,0.38890530472886414,0.38890530472886414,0.7135372212837491,0.8857688770320858,0.8857688770320858,0.8857688770320858,0.8857688770320858,0.9431645481492092,0.9999846544412375,0.9999846544412375
杨铁心,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.999464008747262,0.999464008747262,0.999464008747262,0.8185063446595201,0.8185063446595201,0.8185063446595201,0.8185063446595201,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681,0.9999178887058681
彭连虎,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9934822532934466,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9999889720878753,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9992068052619292,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.9999806625185456,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985,0.8939885430288985
陆冠英,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999949682123029,0.9999949682123029,0.9999949682123029,0.9999949682123029,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9999430756244415,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107,0.9656112785172107
杨康,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.07740873252513347,0.9822269939965256,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.9822599080529937,0.7790781193111721,0.833715530200771,0.833715530200771,0.833715530200771,0.6648459602218619,0.6648459602218619,0.6648459602218619,0.6648459602218619,0.6589816849652446,8.273176065332066e-07,0.9999327035814702,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.9180379227036709,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.48858311407553656,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481,0.9999998754483481
穆念慈,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.992265224470755,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.9999859854823554,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.999192337458246,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.5562595288806068,0.9998469064930153,0.9998469064930153,0.9998469064930153
裘千仞,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999999980516918,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.8515121541836687,0.7191367235095364,0.7191367235095364,0.7191367235095364,0.852968406227092,0.999999741333535,0.999999741333535,0.7714979569222823,0.7714979569222823,0.7714979569222823,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9961117310927102,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9720447214557149,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.9999999999857199,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051,0.5655280702676051
柯镇恶,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9997950792297337,0.9997950792297337,0.006799719867118581,0.006799719867118581,0.9571087039985443,0.9984604607326886,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9016025005987811,0.9999999493744672,0.9999999493744672,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9999025054187326,0.9994893388445473,0.9994893388445473,0.9994893388445473,0.9968011365875294,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444,0.6611074668460444
